                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.75645,                 1.2889,                 1.2968,                0.59545,                0.09208,                0.11273,                0.07881,                 1.9602,                  3.006,                 1.7967,             7.0349e-05,             7.0349e-05,             7.0349e-05
                     35,                0.74379,                 1.2739,                 1.2894,                0.60911,                0.09641,                  0.108,                 0.0767,                 1.9845,                 3.0764,                 1.8185,             6.6547e-05,             6.6547e-05,             6.6547e-05
                     36,                0.74115,                 1.2575,                 1.2924,                0.59865,                0.09756,                0.10744,                 0.0753,                 2.0312,                 3.0869,                 1.8071,             6.2746e-05,             6.2746e-05,             6.2746e-05
                     37,                0.73008,                 1.2309,                 1.2825,                0.55861,                0.10174,                0.11057,                0.07752,                 1.9527,                 3.0161,                 1.7752,             5.8944e-05,             5.8944e-05,             5.8944e-05
                     38,                0.74443,                 1.2374,                 1.2882,                0.64166,                0.09446,                0.11055,                0.07816,                 1.9431,                 3.0262,                 1.7768,             5.5142e-05,             5.5142e-05,             5.5142e-05
                     39,                0.72317,                 1.2018,                  1.276,                 0.6561,                0.09594,                0.11375,                0.07996,                 1.9618,                 2.9914,                  1.781,             5.1341e-05,             5.1341e-05,             5.1341e-05
                     40,                  0.715,                 1.2067,                 1.2695,                0.61496,                0.09673,                0.11354,                0.07999,                 1.9646,                 3.0071,                 1.7709,             4.7539e-05,             4.7539e-05,             4.7539e-05
                     41,                0.69118,                 0.8932,                 1.2812,                0.61987,                0.09931,                 0.1165,                 0.0845,                  1.939,                 2.9684,                 1.7543,             4.3738e-05,             4.3738e-05,             4.3738e-05
                     42,                0.66629,                0.82171,                  1.257,                0.54079,                0.10264,                0.11559,                0.08276,                 1.9161,                 2.9399,                  1.738,             3.9936e-05,             3.9936e-05,             3.9936e-05
                     43,                0.65325,                0.79038,                 1.2478,                0.66115,                0.09917,                0.11577,                0.08281,                  1.974,                 2.9303,                 1.7681,             3.6134e-05,             3.6134e-05,             3.6134e-05
                     44,                 0.6329,                0.77002,                 1.2289,                0.59169,                 0.0986,                0.11624,                0.08431,                  1.931,                 2.8998,                 1.7464,             3.2333e-05,             3.2333e-05,             3.2333e-05
                     45,                0.63342,                0.75165,                 1.2348,                0.58949,                0.09744,                 0.1158,                0.08353,                 1.9025,                 2.9081,                 1.7321,             2.8531e-05,             2.8531e-05,             2.8531e-05
                     46,                0.62445,                0.74388,                 1.2223,                0.59191,                0.09945,                0.11954,                0.08599,                 1.8959,                 2.8663,                 1.7274,              2.473e-05,              2.473e-05,              2.473e-05
                     47,                0.61671,                0.72206,                 1.2137,                0.61228,                0.10072,                0.11773,                0.08517,                 1.9336,                 2.8836,                 1.7362,             2.0928e-05,             2.0928e-05,             2.0928e-05
                     48,                0.61094,                0.70519,                 1.2065,                0.58911,                0.10022,                0.11832,                 0.0847,                  1.909,                 2.8934,                 1.7262,             1.7126e-05,             1.7126e-05,             1.7126e-05
                     49,                0.60378,                0.69343,                 1.1978,                 0.5418,                0.10309,                0.11778,                0.08503,                 1.8946,                 2.8877,                 1.7132,             1.3325e-05,             1.3325e-05,             1.3325e-05
                     50,                0.60037,                0.69424,                  1.195,                0.59608,                0.09742,                0.11747,                0.08525,                 1.9131,                 2.8805,                 1.7202,             9.5232e-06,             9.5232e-06,             9.5232e-06
