                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9827,                 1.7714,                 1.5588,                0.30759,                0.21033,                0.16521,                0.06087,                 2.4112,                 2.2364,                 1.1874,               0.006733,               0.006733,               0.006733
                     36,                 1.9601,                 1.7526,                 1.5619,                0.40957,                0.25419,                0.24961,                0.09728,                 2.4485,                  1.932,                 1.2438,               0.006634,               0.006634,               0.006634
                     37,                 1.9774,                 1.7506,                 1.5524,                0.40825,                0.25245,                0.24132,                0.09026,                 2.5737,                 2.0064,                 1.2275,               0.006535,               0.006535,               0.006535
                     38,                 1.9656,                 1.7355,                  1.549,                0.45926,                0.26536,                0.25592,                0.09344,                 2.4574,                 2.0942,                 1.1883,               0.006436,               0.006436,               0.006436
                     39,                 1.9502,                 1.7136,                  1.548,                0.40733,                0.21089,                0.21243,                0.08671,                 2.4615,                 2.1306,                 1.2128,               0.006337,               0.006337,               0.006337
                     40,                 1.9363,                 1.7063,                 1.5328,                0.45877,                0.25559,                0.26271,                0.10554,                 2.3511,                 1.9312,                 1.1548,               0.006238,               0.006238,               0.006238
                     41,                 1.9431,                 1.6897,                 1.5265,                 0.4384,                0.27802,                0.26255,                0.09739,                 2.4961,                 1.9422,                 1.2032,               0.006139,               0.006139,               0.006139
                     42,                 1.9356,                 1.6938,                 1.5237,                0.36738,                0.22207,                0.20592,                 0.0814,                 2.4019,                 2.1379,                  1.164,                0.00604,                0.00604,                0.00604
                     43,                 1.9378,                 1.6942,                 1.5274,                 0.4328,                0.26397,                0.26142,                0.10155,                 2.4253,                 1.9261,                 1.1884,               0.005941,               0.005941,               0.005941
                     44,                 1.9298,                 1.6833,                 1.5199,                0.37275,                0.23464,                0.21289,                0.07998,                 2.4757,                 2.0387,                 1.1779,               0.005842,               0.005842,               0.005842
                     45,                 1.9181,                 1.6699,                  1.512,                0.40481,                0.22626,                 0.2058,                0.08432,                 2.4336,                 2.1583,                 1.1871,               0.005743,               0.005743,               0.005743
                     46,                 1.9133,                 1.6591,                 1.5151,                0.41809,                0.25288,                0.23464,                 0.0871,                 2.4337,                 2.0977,                 1.1875,               0.005644,               0.005644,               0.005644
                     47,                  1.903,                 1.6381,                 1.5023,                0.42315,                0.22905,                0.23178,                0.08833,                 2.4192,                 2.0133,                 1.1878,               0.005545,               0.005545,               0.005545
                     48,                 1.9107,                 1.6386,                 1.5013,                0.39202,                0.25279,                0.23529,                0.09119,                 2.4667,                 2.0795,                 1.1804,               0.005446,               0.005446,               0.005446
                     49,                  1.908,                 1.6457,                 1.5015,                0.41653,                0.25279,                0.24427,                0.09652,                 2.4386,                 1.9426,                 1.1736,               0.005347,               0.005347,               0.005347
                     50,                 1.9053,                 1.6365,                 1.5027,                0.41708,                0.24441,                0.23628,                0.09143,                 2.4328,                 1.9827,                 1.1961,               0.005248,               0.005248,               0.005248
